,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
73685,for_sale,4.0,3.0,0.34,Billerica,Massachusetts,1862.0,2752.0,,649900.0
97313,for_sale,,,11.78,Winchendon,Massachusetts,1475.0,,,140000.0
34584,for_sale,5.0,5.0,2.0,Williamsburg,Massachusetts,1096.0,4476.0,2009-06-30,1290000.0
62270,for_sale,,,2.4,North Adams,Massachusetts,1247.0,,,125000.0
90011,for_sale,3.0,1.0,3.06,Oakham,Massachusetts,1068.0,864.0,2002-04-12,300000.0
60002,for_sale,6.0,2.0,0.11,Springfield,Massachusetts,1104.0,2016.0,2006-11-21,259900.0
85871,for_sale,2.0,1.0,,Westborough,Massachusetts,1581.0,1103.0,2021-04-09,237500.0
93621,for_sale,,,1.27,Belchertown,Massachusetts,1007.0,,,95000.0
66080,for_sale,,,3.3,Pittsfield,Massachusetts,1201.0,,,149000.0
39104,for_sale,4.0,1.0,0.64,Longmeadow,Massachusetts,1028.0,1296.0,2017-06-23,329000.0
75333,for_sale,3.0,1.0,0.34,Easthampton,Massachusetts,1027.0,1248.0,2012-01-06,350000.0
91685,for_sale,,,2.65,Brimfield,Massachusetts,1010.0,,2006-07-21,49500.0
98124,for_sale,,,1.0,Webster,Massachusetts,1570.0,,,89500.0
98779,for_sale,2.0,2.0,0.23,Auburn,Massachusetts,1501.0,1000.0,2008-08-04,309900.0
84923,for_sale,2.0,3.0,,Dudley,Massachusetts,1571.0,2150.0,,479000.0
79879,for_sale,2.0,2.0,,Weston,Massachusetts,2493.0,1359.0,2005-01-06,680000.0
65829,for_sale,,,0.46,Pittsfield,Massachusetts,1201.0,,1996-11-07,274500.0
97011,for_sale,,,2.02,Dudley,Massachusetts,1571.0,,,70000.0
98810,for_sale,6.0,6.0,1.12,Shrewsbury,Massachusetts,1545.0,4783.0,,875000.0
75190,for_sale,,,6.75,Chester,Massachusetts,1011.0,,,40000.0
78379,for_sale,4.0,2.0,0.06,Pepperell,Massachusetts,1463.0,2457.0,2003-08-11,489900.0
44601,for_sale,4.0,3.0,0.24,Holyoke,Massachusetts,1040.0,2115.0,,279000.0
92020,for_sale,10.0,4.0,0.11,Worcester,Massachusetts,1604.0,3290.0,2006-05-25,650000.0
74354,for_sale,,,0.8,Chicopee,Massachusetts,1020.0,,,50000.0
56062,for_sale,5.0,2.0,0.29,Pittsfield,Massachusetts,1201.0,2170.0,1992-11-16,459000.0
83935,for_sale,,,24.0,Pelham,Massachusetts,1002.0,,,449999.0
76047,for_sale,,,0.22,North Adams,Massachusetts,1247.0,,,24900.0
97596,for_sale,,,23.0,Harvard,Massachusetts,1451.0,,,1200000.0
46391,for_sale,3.0,2.0,1.13,Westfield,Massachusetts,1085.0,2448.0,2004-10-29,439900.0
32949,for_sale,6.0,4.0,0.16,Springfield,Massachusetts,1109.0,2160.0,,309900.0
63604,for_sale,5.0,3.0,19.85,Great Barrington,Massachusetts,1230.0,7000.0,2005-08-29,2750000.0
82378,for_sale,3.0,1.0,1.06,Sterling,Massachusetts,1564.0,825.0,2007-01-11,340000.0
65526,for_sale,3.0,2.0,0.21,Pittsfield,Massachusetts,1201.0,1230.0,2008-08-11,165000.0
53017,for_sale,3.0,1.0,0.21,West Springfield,Massachusetts,1089.0,1588.0,2006-03-31,324900.0
85374,for_sale,3.0,1.0,0.22,Webster,Massachusetts,1570.0,1720.0,,329000.0
65752,for_sale,5.0,3.0,0.15,Pittsfield,Massachusetts,1201.0,2549.0,1997-12-01,225000.0
86041,for_sale,4.0,2.0,1.34,Acton,Massachusetts,1720.0,1604.0,,599000.0
66618,for_sale,,,4.9,Becket,Massachusetts,1223.0,,,50000.0
80030,for_sale,2.0,1.0,0.07,Waltham,Massachusetts,2451.0,1049.0,1993-12-31,439900.0
69232,for_sale,3.0,2.0,0.33,Montague,Massachusetts,1351.0,1770.0,2009-06-25,266000.0
86592,for_sale,4.0,5.0,1.36,Southborough,Massachusetts,1772.0,4261.0,,1395000.0
58104,for_sale,5.0,4.0,,Lenox,Massachusetts,1240.0,3500.0,,889000.0
97406,for_sale,,,13.3,Ashburnham,Massachusetts,1430.0,,,130000.0
63052,for_sale,,,3.72,Egremont,Massachusetts,1258.0,,,79000.0
92834,for_sale,,,3.0,Hopkinton,Massachusetts,1746.0,,,149900.0
98832,for_sale,,,75.52,Paxton,Massachusetts,1612.0,,,559900.0
93933,for_sale,2.0,1.0,,Attleboro,Massachusetts,2703.0,850.0,,212900.0
75474,for_sale,,,1.12,Hatfield,Massachusetts,1088.0,,,159900.0
91476,for_sale,4.0,4.0,0.52,Medway,Massachusetts,2053.0,3697.0,2006-05-16,929900.0
87592,for_sale,4.0,4.0,0.11,Southbridge,Massachusetts,1550.0,3639.0,,349000.0
75431,for_sale,,,0.71,Erving,Massachusetts,1344.0,,,69500.0
71545,for_sale,3.0,2.0,1.0,Chester,Massachusetts,1011.0,1272.0,,225000.0
